room,neighborhood,occupancy
311C,3-1,1.0
311,3-1,11.0
312,3-1,1.0
310,3-1,1.0
246,2-12,1.0
G624,6-3,2.0
G626,6-3,1.0
G628,6-3,3.0
G630,6-3,2.0
G634,6-3,2.0
G636,6-3,4.0
G640,6-3,1.0
G642,6-3,1.0
G644,6-3,1.0
G646,6-3,1.0
G635,6-3,1.0
316,3-4,1.0
321,3-4,10.0
321A,3-4,1.0
322,3-4,1.0
G806,8-1,1.0
G804,8-1,1.0
G802,8-1,1.0
G808,8-1,1.0
G808A,8-1,1.0
G814,8-1,1.0
G816,8-1,1.0
G818,8-1,1.0
G820,8-1,1.0
G822,8-1,2.0
338,3-12,1.0
346,3-15,2.0
G604,6-1,2.0
G606,6-1,1.0
G608,6-1,1.0
G614,6-1,1.0
G616,6-1,4.0
G618,6-1,3.0
G622,6-1,1.0
G449,4-8,3.0
D508,5-6,1.0
D510,5-6,1.0
D512,5-6,1.0
D514,5-6,1.0
D516,5-6,2.0
D524,5-6,1.0
D526,5-6,3.0
D528,5-6,2.0
D530,5-6,1.0
D532,5-6,1.0
D534,5-6,1.0
D533,5-6,1.0
D540,5-6,6.0
G451,4-12,1.0
G431,4-11,1.0
G550,5-5,2.0
G568,5-3,1.0
G570,5-3,3.0
G572,5-3,5.0
G574,5-3,2.0
G577,5-3,1.0
G578,5-3,3.0
G580,5-3,3.0
G582,5-3,3.0
G585,5-3,1.0
G585A,5-3,2.0
G585B,5-3,5.0
G585C,5-3,3.0
G592,5-3,1.0
G594,5-3,4.0
G596,5-3,2.0
G598,5-3,3.0
G825,8-2,1.0
397,3-7,1.0
395,3-7,1.0
271,2-5,4.0
271A,2-5,1.0
244,2-11,1.0
G925,9-2,1.0
D463,4-6,1.0
391,3-9,1.0
393,3-9,1.0
394,3-9,4.0
392,3-9,3.0
385,3-9,5.0
383,3-9,2.0
381,3-9,1.0
386A,3-9,1.0
386B,3-9,1.0
386D,3-9,1.0
386F,3-9,1.0
386G,3-9,1.0
386H,3-9,1.0
D450A,4-3,1.0
D450,4-3,1.0
D458,4-3,5.0
D460,4-3,1.0
D462,4-3,1.0
D464,4-3,1.0
D466,4-3,1.0
D468,4-3,1.0
D470,4-3,1.0
D472,4-3,3.0
D474,4-3,4.0
D476,4-3,1.0
